AppID,Name,Releasedate,Requiredage,Price,DLCcount,Windows,Mac,Linux,Achievements,Developers,Publishers,Categories,Genres,Positive,Negative
893710,Mercenary Leto,28-Aug-18,0,14.99,0,TRUE,FALSE,FALSE,0,dragonGlitch Games LLC,dragonGlitch Games LLC,"Single-player,Partial Controller Support","Action,Indie,Early Access",6,0
1629250,Gravitaze: Two,28-Jun-21,0,0.99,0,TRUE,FALSE,TRUE,0,Double E,Double E,"Single-player,Full controller support","Casual,Indie",4,1
792160,Heroes Of Hellas 4: Birth Of Legend,14-Feb-18,0,5.99,0,TRUE,FALSE,FALSE,70,Jaibo Games,Alawar Entertainment,"Single-player,Steam Achievements","Adventure,Casual,Strategy",31,2
1150310,Let's Go! Skiing VR,27-Sep-19,0,1.04,0,TRUE,FALSE,FALSE,4,DGMA,DGMA,"Single-player,Steam Achievements","Casual,Indie,Sports",8,4
352700,Subspace Continuum,03-Jul-15,0,0,0,TRUE,FALSE,FALSE,1,"Virgin Interactive Entertainment,PriitK",Subspace Continuum,"Multi-player,MMO,PvP,Online PvP,Cross-Platform Multiplayer,Partial Controller Support,Stats","Action,Casual,Free to Play,Massively Multiplayer",475,66
1832010,Legacy: the last pure heart,07-Mar-22,0,9.99,0,TRUE,FALSE,FALSE,0,Addie J. Lobruno,Addie J. Lobruno,Single-player,"Adventure,Indie",2,1
432130,Break Chance Memento,12-Feb-16,0,14.99,0,TRUE,TRUE,TRUE,9,Cyanide Tea,Cyanide Tea,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Indie",27,4
1291830,Outlaws: Corwin's Treasure,05-May-20,0,4.99,0,TRUE,FALSE,FALSE,0,Urchin Games,HH-Games,Single-player,"Adventure,Casual,Indie,RPG,Strategy",16,17
860790,Adventures Of Pipi 2 Save Hype,24-May-18,0,0.49,1,TRUE,FALSE,FALSE,6,"Nikita ""Ghost_RUS""",Ghost_RUS Games,"Single-player,Steam Achievements","Action,Adventure,Casual,Indie",23,7
1873410,Witch Sacrifice,13-Feb-22,0,2.99,0,TRUE,FALSE,FALSE,7,CuberZ,CasGame,"Single-player,Steam Achievements","Action,Adventure,Indie,Strategy",2,0
1708810,COTTOn Boomerang - Saturn Tribute,09-Feb-22,0,17.99,0,TRUE,FALSE,FALSE,11,CITY CONNECTION,CITY CONNECTION,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support",Action,7,2
1376140,CounterBlocks,20-Oct-20,0,4.99,0,TRUE,TRUE,FALSE,26,Acerola Software,Acerola Software,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,Indie",1,0
563750,World Boxing Manager,09-Dec-16,0,4.99,0,TRUE,TRUE,TRUE,25,Aggroblakh,Aggroblakh,"Single-player,Steam Achievements,Steam Trading Cards","Simulation,Sports,Strategy",74,50
